№,Название,Адрес,Телефон,Рейтинг,Отзывов,Фото,Средний чек,Категории,URL 2GIS,HTML файл
1419,Bereket,"проспект Улы Дала, 56/2, Астана",+77757230784,4.5,297,79,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001075102804,cafe_1419.html
1420,Наша Пицца,"улица Ахмет Байтурсынулы, 53, Астана",+77078827724,Нет рейтинга,148,81,2990 тнг,Чек 2990 тнг,https://2gis.kz/astana/firm/70000001109685236,cafe_1420.html
1421,Doner Food,"улица Кайым Мухамедханов, 20, Астана",+77783824444,4.8,696,272,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001069001476,cafe_1421.html
1422,Плов Тандыр,"Кабанбай батыр проспект, 38/1, Астана",+77006131981,4.7,377,92,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001075069645,cafe_1422.html
1423,Azaza burger & doner durum,"ЖК Алматау, Кабанбай батыр проспект, 29, Астана",+77000889078,4.8,542,161,3000 тнг,"Лучший стритфуд 2025, Чек 3000 тнг",https://2gis.kz/astana/firm/70000001092583307,cafe_1423.html
1424,Иналь,"проспект Нургиса Тлендиева, 230, Астана",+77076463424,4.4,459,92,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001032609632,cafe_1424.html
1425,Mr. Woki,"улица Жайык, 35а, Астана",+77788182882,Нет рейтинга,20,11,2200 тнг,Чек 2200 тнг,https://2gis.kz/astana/firm/70000001110639848,cafe_1425.html
1426,Кайфани у Ереке,"улица Каныш Сатпаев, 23/1, Астана",+77005876565,4.4,29,43,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001104894790,cafe_1426.html
1427,Sazan Дәмі,"улица Туркестан, 34а, Астана",+77780987210,4.3,254,281,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001097162347,cafe_1427.html
1428,ONESHOTT COFFEE,"Аль-Фараби проспект, 15/1, Астана",+77012176912,4.9,147,86,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001100919239,cafe_1428.html
1429,Burger King,"улица Мухамеджан Тынышбайулы, 8, Астана",Не указано,4.2,555,36,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001028544136,cafe_1429.html
1430,Hala Madrid Pub,"улица Сыганак, 32, Астана",Не указано,4.8,132,153,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001097243984,cafe_1430.html
1431,Бахрома,"улица Балбырауын, 6, Астана",+77072083126,4.6,194,69,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001029069937,cafe_1431.html
1432,Shifu,"улица Сыганак, 17Б, Астана",+77775937788,4.4,166,74,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001079692349,cafe_1432.html
1433,Americano,"проспект Ракымжан Кошкарбаев, 10, Астана",+77005247776,4.8,118,144,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001081583833,cafe_1433.html
1434,Mangal doner,"улица Едил, 26, Астана",+77719292080,4.7,418,49,Не указано,Кафе,https://2gis.kz/astana/firm/70000001099795112,cafe_1434.html
1435,Sofra Kabab,"проспект Ракымжан Кошкарбаев, 25, Астана",+77783030655,4.8,481,205,1350 тнг,Чек 1350 тнг,https://2gis.kz/astana/firm/70000001065442208,cafe_1435.html
1436,Goodman`s,"Амангельды Иманова улица, 47/1, Астана",+77029568699,4.7,157,60,Не указано,Кафе,https://2gis.kz/astana/firm/70000001035915749,cafe_1436.html
1437,Бибигон,"улица Манас, 1Б, Астана",+77777779209,4.1,362,36,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001024828241,cafe_1437.html
1438,Khan Doner,"улица Сагадат Нурмагамбетов, 23/1, Астана",+77770103037,4.8,67,66,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001104322577,cafe_1438.html
1439,La Ruche,"улица Каныш Сатпаев, 21, Астана",+77072446171,4.5,312,106,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001020928997,cafe_1439.html
1440,ШАВЕРМА,"улица Сыганак, 54, Астана",+77008099999,4.9,1512,145,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001063705254,cafe_1440.html
1441,InstaCafe,"улица Балкантау, 92, Астана",+77779484445,4.7,346,127,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001082507762,cafe_1441.html
1442,Asai,"улица Динмухамед Конаев, 8/1, Астана",+77714399199,Нет рейтинга,0,13,Не указано,"Винный ресторан, Авторская кухня, Казахская кухня, Винная карта, VIP-зал",https://2gis.kz/astana/firm/70000001103749196,cafe_1442.html
1443,Рамён,"Жанибек хандар улица, 16, Астана",+77759801085,4.4,173,63,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001062432210,cafe_1443.html
1444,Habibi,"проспект Ракымжан Кошкарбаев, 37, Астана",+77009303676,4.6,209,130,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001036940542,cafe_1444.html
1445,Burger King,"проспект Туран, 24, Астана",Не указано,3.4,300,52,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001038000607,cafe_1445.html
1446,Jadi Doner,"улица Толе би, 14, Астана",+77716003007,4.5,47,57,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001110272572,cafe_1446.html
1447,Абылай,"улица Ыкылас Дукенулы, 36, Астана",+77074495995,4.2,142,49,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001018076034,cafe_1447.html
1448,Et Gourmet,"проспект Мангилик Ел, 54/1, Астана",+77004349621,4.2,78,48,Не указано,"Бургерные, Заказ навынос, До 5 мест, Бургеры",https://2gis.kz/astana/firm/70000001082648887,cafe_1448.html
1449,Soul Fried Chicken,"проспект Туран, 55/5, Астана",+77477716562,4.9,116,40,Не указано,Кафе,https://2gis.kz/astana/firm/70000001105286422,cafe_1449.html
1450,True Food Lunch and Coffee,"проспект Ракымжан Кошкарбаев, 1/5, Астана",+77713200817,4.8,129,38,Не указано,"Пицца, Бургеры, Доставка wok, Десерты, Паста",https://2gis.kz/astana/firm/70000001043557467,cafe_1450.html
1451,The Doner на углях,"Кабанбай батыр проспект, 29/2, Астана",+77010345588,4.7,1858,121,Не указано,"Шавермы, Халяльная кухня, Заказ навынос, Шаурма, Пицца",https://2gis.kz/astana/firm/70000001046079907,cafe_1451.html
1452,Aisa,"улица Жанайдар Жирентаев, 17, Астана",+77782776666,4.3,125,54,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001052404538,cafe_1452.html
1453,Береке,"улица Шокана Уалиханова, 21/4, Астана",+77002915607,3.2,109,35,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001083289792,cafe_1453.html
1454,Bar&Kitchen 1998,"улица Анет баба, 5, Астана",+77713313313,4.7,280,64,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001084304219,cafe_1454.html
1455,Dali,"улица Достык, 1/2, Астана",+77012143322,4.8,113,101,12000 тнг,Чек 12000 тнг,https://2gis.kz/astana/firm/70000001056753572,cafe_1455.html
1456,Nauryz,"проспект Улы Дала, 35, Астана",+77712886434,4.7,314,82,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001076562542,cafe_1456.html
1457,Chicken Mix,"ЖК Гранд Астана блок F, улица Жумекен Нажимеденов, 10/2, Астана",+77071066158,4.6,71,70,1200 тнг,Чек 1200 тнг,https://2gis.kz/astana/firm/70000001104624611,cafe_1457.html
1458,I’MDrive,"проспект Богенбай батыра, 49, Астана",+77470503292,4.2,228,55,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001044482943,cafe_1458.html
1459,Плов Тандыр,"проспект Туран, 43/3, Астана",+77006131981,4.5,184,104,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001084108822,cafe_1459.html
1460,Uno Dos Tacos!,"Кабанбай батыр проспект, 62, Астана",+77771605404,3.7,287,31,Не указано,"Мексиканская кухня, Пицца, Картофель-фри, Буррито, Крылышки",https://2gis.kz/astana/firm/70000001094949376,cafe_1460.html
1461,Бибигон,"проспект Абая, 48д/1 киоск, Астана",+77777779209,4.4,731,46,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001038727951,cafe_1461.html
1462,Үш тандыр,"улица Александра Пушкина, 15, Астана",+77075930202,4.8,92,27,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001105675018,cafe_1462.html
1463,Береке,"улица Кобыз, 50, Астана",+77472230923,4.5,348,204,1200 тнг,Чек 1200 тнг,https://2gis.kz/astana/firm/70000001019914793,cafe_1463.html
1464,CTR Chicken,"проспект Туран, 37, Астана",+77788260438,4.7,1098,105,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001036572860,cafe_1464.html
1465,Жар Донер на углях,"проспект Женис, 49/2, Астана",+77755913337,4.8,115,51,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001094387085,cafe_1465.html
1466,Mangal doner,"проспект Богенбай батыра, 53в, Астана",+77719292080,4.7,311,44,Не указано,Кафе,https://2gis.kz/astana/firm/70000001094810432,cafe_1466.html
1467,Шампур,"улица Кайрат Рыскулбеков, 6, Астана",+77072573375,4.2,251,73,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001018080075,cafe_1467.html
1468,Korshim,"улица Е 900, 4, Астана",+77767882266,4.8,42,38,Не указано,"Гриль-бары, Восточная кухня, Европейская кухня, Завтрак, Заказ столиков",https://2gis.kz/astana/firm/70000001106274442,cafe_1468.html
1469,Турецкая Трапеза,"улица Кенесары, 70, Астана",+77751577542,4.9,268,87,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001087504111,cafe_1469.html
1470,Fish Gold,"улица Шамши Калдаяков, 24, Астана",+77770332224,4.9,127,100,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001098540530,cafe_1470.html
1471,Алатау,"улица Таскескен, 17Б, Астана",+77761483272,4.8,37,71,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001104130580,cafe_1471.html
1472,Pahlava,"улица Куйши Дина, 13, Астана",+77000706060,4.7,513,125,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001028125489,cafe_1472.html
1473,Мятный Expo,"проспект Мангилик Ел, 51, Астана",+77712682032,4.9,173,253,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001092512054,cafe_1473.html
1474,Шашлычок,"улица Бейбитшилик, 79, Астана",+77009005900,4.9,1192,147,5090 тнг,Чек 5090 тнг,https://2gis.kz/astana/firm/70000001095723013,cafe_1474.html
1475,Qazaq.chicken.astana,"улица Жумекен Нажимеденов, 52а, Астана",+77711121256,Нет рейтинга,63,126,Не указано,Кафе,https://2gis.kz/astana/firm/70000001109930487,cafe_1475.html
1476,Welcome bar,"улица Абикен Бектуров, 9, Астана",+77717931233,4.9,182,98,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001097336708,cafe_1476.html
1477,Ceviche,"проспект Мангилик Ел, 40, Астана",+77055788090,4.7,382,154,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001097880147,cafe_1477.html
1478,Великая Китайская стена,"улица Достык, 16п, Астана",+77715901473,4.4,67,76,Не указано,"Китайская кухня, Хого, Живая музыка, Поминальные обеды, VIP-зал",https://2gis.kz/astana/firm/70000001093533330,cafe_1478.html
1479,Kitchen&Delivery Bar,"улица Сыганак, 11, Астана",+77781118009,4.9,258,122,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001083850219,cafe_1479.html
1480,Chaihana NAVAT,"шоссе Коргалжын, 1, Астана",+77776731111,4.1,4,0,Не указано,Кафе,https://2gis.kz/astana/firm/70000001104952253,cafe_1480.html
1481,Disney doner,"проспект Сарыарка, 42, Астана",+77072002097,4.6,815,70,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001054205370,cafe_1481.html
1482,Safia Fast Food,"Е 915 улица, 13, Астана",+77075148786,4.8,141,24,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001105282175,cafe_1482.html
1483,Burger King,"улица Достык, 9, Астана",Не указано,4.2,755,68,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001019133590,cafe_1483.html
1484,Чосон,"улица Куйши Дина, 37, Астана",+77012226887,4.6,117,44,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001018126835,cafe_1484.html
1485,Nudu,"улица Достык, 16Б, Астана",+77758356229,4.8,157,16,2300 тнг,Чек 2300 тнг,https://2gis.kz/astana/firm/70000001090233734,cafe_1485.html
1486,Қуырдақ №1,"улица Жумекен Нажимеденов, 34, Астана",+77781640499,4.8,14,43,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001104884503,cafe_1486.html
1487,Qazaq.chicken.astana,"улица Жумекен Нажимеденов, 52а, Астана",+77711121256,Нет рейтинга,63,126,Не указано,Кафе,https://2gis.kz/astana/firm/70000001109930487,cafe_1487.html
1488,Welcome bar,"улица Абикен Бектуров, 9, Астана",+77717931233,4.9,182,98,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001097336708,cafe_1488.html
1489,Ceviche,"проспект Мангилик Ел, 40, Астана",+77055788090,4.7,382,154,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001097880147,cafe_1489.html
1490,Великая Китайская стена,"улица Достык, 16п, Астана",+77715901473,4.4,67,76,Не указано,"Китайская кухня, Хого, Живая музыка, Поминальные обеды, VIP-зал",https://2gis.kz/astana/firm/70000001093533330,cafe_1490.html
1491,Mola,"улица Достык, 9, Астана",+77760193081,4.7,819,196,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001080783642,cafe_1491.html
1492,The chef,"проспект Ракымжан Кошкарбаев, 10/1, Астана",+77054053333,4.4,171,148,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001026117047,cafe_1492.html
1493,Mangal doner,"улица Шокана Уалиханова, 20/2а, Астана",+77719292080,4.7,303,28,Не указано,Кафе,https://2gis.kz/astana/firm/70000001097253762,cafe_1493.html
1494,CTR Chicken,"проспект Абылай хана, 29а, Астана",+77786601642,4.5,743,48,1800 тнг,Чек 1800 тнг,https://2gis.kz/astana/firm/70000001061387251,cafe_1494.html
1495,Exclusive,"проспект Туран, 50, Астана",+77086582524,4.8,395,41,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001080306137,cafe_1495.html
1496,Lanzhou,"шоссе Коргалжын, 1, Астана",+77001611161,4.2,301,43,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001094798040,cafe_1496.html
1497,Союз,"проспект Нургиса Тлендиева, 13д, Астана",+77015551703,4.4,278,61,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001024382488,cafe_1497.html
1498,Jiff kebab,"шоссе Коргалжын, 2е киоск, Астана",+77472382948,4.6,218,19,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001059622795,cafe_1498.html
1499,Gold in Basket,"проспект Туран, 24, Астана",+77070287788,4.9,624,98,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001082774924,cafe_1499.html
1500,Soho,"Кабанбай батыр проспект, 43 блок А, Астана",+77783955503,4.8,58,60,Не указано,"Европейская кухня, Пицца, Бургеры, Стейки, Лагман",https://2gis.kz/astana/firm/70000001105008919,cafe_1500.html
1501,Caliente,"Аль-Фараби проспект, 36/2, Астана",+77009005900,Нет рейтинга,81,55,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001110001187,cafe_1501.html
1502,ONESHOTT COFFEE kitchen,"улица Жумекен Нажимеденов, 44а, Астана",+77769995721,4.8,315,152,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001086846272,cafe_1502.html
1503,Наш двор,"улица Габидена Мустафина, 13/1, Астана",+77752139155,4.4,64,29,Не указано,"Пивной бар, Европейская кухня, Заказ столиков, Спортивные трансляции, VIP-зал",https://2gis.kz/astana/firm/70000001021562692,cafe_1503.html
1504,Chica’Go,"ЖК Жайна, улица Кенен Азербаев, 47, Астана",+77088800765,4.8,379,78,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001080303475,cafe_1504.html
1505,Aq Anyz,"улица Алихан Бокейхан, 10, Астана",+77752996688,4.9,966,98,4500 тнг,Чек 4500 тнг,https://2gis.kz/astana/firm/70000001022034235,cafe_1505.html
1506,Beecafe,"проспект Бауыржан Момышулы, 12, Астана",+77057040808,4.6,734,281,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001018401486,cafe_1506.html
1507,Шымкент 2,"улица Шалкоде, 6/1, Астана",+77763767647,3.7,18,54,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001095183812,cafe_1507.html
1508,Ramen bar,"проспект Туран, 24, Астана",+77009005900,4.5,54,38,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001102858287,cafe_1508.html
1509,La Duz,"улица Сыганак, 17Б, Астана",+77081802048,4.8,106,80,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001100096971,cafe_1509.html
1510,Буфет,"проспект Улы Дала, 71, Астана",+77013593355,4.3,273,91,Не указано,"Кофе с собой, Чай с собой, Доставка, Пандус, Доступный вход для людей с инвалидностью",https://2gis.kz/astana/firm/70000001062620871,cafe_1510.html
1511,ШАВЕРМА,"проспект Нургиса Тлендиева, 15/5 киоск, Астана",+77008099999,4.7,1526,49,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001038356957,cafe_1511.html
1512,Craft Doner,"улица Чингиз Айтматов, 53п, Астана",+77759038627,4.6,77,54,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001097205423,cafe_1512.html
1513,Ozyurt,"проспект Туран, 37, Астана",+77750252544,2.9,413,112,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001019237907,cafe_1513.html
1514,Tanda,"проспект Бауыржан Момышулы, 2/5, Астана",+77054761748,4.8,456,213,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001045834181,cafe_1514.html
1515,Kioto,"Аль-Фараби проспект, 11, Астана",+77001605060,4.8,56,69,6500 тнг,Чек 6500 тнг,https://2gis.kz/astana/firm/70000001106050087,cafe_1515.html
1516,ШАВЕРМА,"проспект Богенбай батыра, 53г, Астана",+77008099999,4.8,545,41,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001075796144,cafe_1516.html
1517,Chicken Mix,"Аль-Фараби проспект, 27, Астана",+77478070281,4.9,39,40,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001110582923,cafe_1517.html
1518,Hardee`s,"улица Бейбарыс Султан, 3, Астана",7001,4.4,42,14,Не указано,Кафе,https://2gis.kz/astana/firm/70000001110607922,cafe_1518.html
1519,Лепим и варим,"улица Достык, 9, Астана",+77071807400,4.7,627,60,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001052438340,cafe_1519.html
1520,U Svoikh,"ЖК Достар 2, улица Габидена Мустафина, 21/7, Астана",+77082935277,4.8,129,41,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001044090917,cafe_1520.html
1521,Como&Co,"проспект Туран, 46Б, Астана",+77756135595,4.7,112,74,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001098520625,cafe_1521.html
1522,Замандас,"улица Сакена Сейфуллина, 49/4, Астана",+77079828003,3.6,143,15,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001066033004,cafe_1522.html
1523,Алматинский ресторан,"улица Алихан Бокейхан, 2, Астана",+77068624061,4.6,62,51,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001022117374,cafe_1523.html
1524,Chickenfood,"улица Нуртас Ондасынов, 91а, Астана",+77053526060,2.6,117,17,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001055346442,cafe_1524.html
1525,Тұздық,"улица Максут Нарикбаев, 5, Астана",+77085084485,3.9,134,63,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001096988773,cafe_1525.html
1526,Burger King,"шоссе Коргалжын, 1, Астана",Не указано,Нет рейтинга,614,58,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001019133718,cafe_1526.html
1527,Kioto,"Аль-Фараби проспект, 11, Астана",+77001605060,4.8,56,69,6500 тнг,Чек 6500 тнг,https://2gis.kz/astana/firm/70000001106050087,cafe_1527.html
1528,ШАВЕРМА,"проспект Богенбай батыра, 53г, Астана",+77008099999,4.8,545,41,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001075796144,cafe_1528.html
1529,Chicken Mix,"Аль-Фараби проспект, 27, Астана",+77478070281,4.9,39,40,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001110582923,cafe_1529.html
1530,Hardee`s,"улица Бейбарыс Султан, 3, Астана",7001,4.4,42,14,Не указано,Кафе,https://2gis.kz/astana/firm/70000001110607922,cafe_1530.html
1531,Лепим и варим,"улица Достык, 9, Астана",+77071807400,4.7,627,60,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001052438340,cafe_1531.html
1532,U Svoikh,"ЖК Достар 2, улица Габидена Мустафина, 21/7, Астана",+77082935277,4.8,129,41,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001044090917,cafe_1532.html
1533,Como&Co,"проспект Туран, 46Б, Астана",+77756135595,4.7,112,74,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001098520625,cafe_1533.html
1534,Замандас,"улица Сакена Сейфуллина, 49/4, Астана",+77079828003,3.6,143,15,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001066033004,cafe_1534.html
1535,Алматинский ресторан,"улица Алихан Бокейхан, 2, Астана",+77068624061,4.6,62,51,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001022117374,cafe_1535.html
1536,Chickenfood,"улица Нуртас Ондасынов, 91а, Астана",+77053526060,2.6,117,17,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001055346442,cafe_1536.html
1537,Тұздық,"улица Максут Нарикбаев, 5, Астана",+77085084485,3.9,134,63,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001096988773,cafe_1537.html
1538,Burger King,"шоссе Коргалжын, 1, Астана",Не указано,Нет рейтинга,614,58,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001019133718,cafe_1538.html
1539,Top Doner,"проспект Туран, 55а, Астана",+77022410242,4.8,85,15,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001097212153,cafe_1539.html
1540,55 Park lane,"проспект Туран, 24, Астана",+77025556100,4.7,351,73,4500 тнг,Чек 4500 тнг,https://2gis.kz/astana/firm/70000001030607531,cafe_1540.html
1541,Everest,"Алиби Жангельдина улица, 18, Астана",+77013453899,4.6,171,48,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001023808322,cafe_1541.html
1542,Butcher`s Street,"Амангельды Иманова улица, 5/2а, Астана",+77775556333,4.5,517,54,Не указано,"Бургеры, Десерты, Вторые блюда, Корпоративные обеды, Салаты",https://2gis.kz/astana/firm/70000001027458033,cafe_1542.html
1543,Mei Mei,"улица Кайым Мухамедханов, 4/2, Астана",+77002413921,4.6,84,86,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001098627341,cafe_1543.html
1544,ШАВЕРМА,"проспект Туран, 55е/1, Астана",+77008099999,4.8,542,34,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001083752495,cafe_1544.html
1545,Yourta Coffee,"Кабанбай батыр проспект, 48/7, Астана",+77775030054,4.6,307,154,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001092744389,cafe_1545.html
1546,ШАВЕРМА,"проспект Бауыржан Момышулы, 2/5а, Астана",+77008099999,4.8,465,53,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001090334939,cafe_1546.html
1547,Pizza Richi,"улица Илияс Омаров, 12в, Астана",+77711233737,Нет рейтинга,80,45,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001103023122,cafe_1547.html
1548,Жигуль Бар,"улица Мухамеджан Тынышбайулы, 8, Астана",+77017785232,4.9,952,30,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001038303820,cafe_1548.html
1549,Lantin,"Жанибек хандар улица, 28, Астана",+77752597165,2.6,9,65,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001109527312,cafe_1549.html
1550,Pizza Day,"улица Толе би, 63, Астана",+77070313577,4.8,207,93,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001084406385,cafe_1550.html
1551,Gastro coffee&bakery,"улица Туркестан, 4/1, Астана",+77754111675,4.8,92,69,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001092974293,cafe_1551.html
1552,Анкара,"Кабанбай батыр проспект, 58Б корпус 6, Астана",+77087107293,4.4,87,43,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001101392945,cafe_1552.html
1553,Вкусный Дом,"улица Алексея Петрова, 2, Астана",+77027108353,4.8,445,150,4500 тнг,Чек 4500 тнг,https://2gis.kz/astana/firm/70000001068526330,cafe_1553.html
1554,Wok point,"Кабанбай батыр проспект, 62, Астана",+77054220833,4.6,1657,207,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001064227346,cafe_1554.html
1555,Balana,"улица Беимбет Майлин, 21, Астана",+77071211010,4.7,200,104,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001057655833,cafe_1555.html
1556,Chiken Айым,"улица Ахмет Байтурсынулы, 49, Астана",+77756816465,4.9,132,47,Не указано,"Суши, Шаурма, Пицца, Закрытая пицца, Куриные крылышки",https://2gis.kz/astana/firm/70000001095708331,cafe_1556.html
1557,ШАВЕРМА,"проспект Туран, 5/1Б, Астана",+77008099999,4.9,698,39,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001090334910,cafe_1557.html
1558,Рахат,"улица Достык, 13, Астана",+77172650115,4.4,145,107,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001019497669,cafe_1558.html
1559,CTR Chicken,"улица Жумабека Ташенова, 26а, Астана",+77765666696,4.5,721,71,Не указано,"Заказ навынос, Пицца, Бургеры, Картофель-фри, Крылышки",https://2gis.kz/astana/firm/70000001060766534,cafe_1559.html
1560,Шашлычок,"проспект Туран, 55/4 киоск, Астана",+77009005900,4.4,1305,72,1000 тнг,Чек 1000 тнг,https://2gis.kz/astana/firm/70000001051880845,cafe_1560.html
1561,ChickenOk,"проспект Туран, 44/2, Астана",+77018506955,4.8,68,116,Не указано,"До 12 мест, Пицца, Бургеры, Крылышки, Чай с собой",https://2gis.kz/astana/firm/70000001099383437,cafe_1561.html
1562,АЮ,"проспект Женис, 37, Астана",+77470660024,4.5,61,30,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001020609732,cafe_1562.html
1563,Bol Bol Food,"улица Космонавтов, 54г, Астана",+77087088181,4.5,521,60,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001068502966,cafe_1563.html
